Happiness,Corruption
7.28399992,79
7.006000042,75
6.890999794,77
7.315999985,82
6.65199995,66
6.609000206,55
7.521999836,90
5.611000061,70
7.468999863,89
6.441999912,69
6.951000214,81
5.227000237,44
5.323999882,48
7.504000187,78
6.977000237,73
7.212999821,64
5.964000225,47
5.920000076,72
5.837999821,53
5.849999905,57
6.862999916,81
6.578000069,30
7.376999855,83
7.31400013,90
7.537000179,85
5.97300005,62
5.195000172,62
6.09800005,51
5.757999897,61
6.402999878,58
7.28399992,88
7.493999958,86
5.5,41
6.714000225,81
6.993000031,74