country,countryid,coordinates,happiness,health,corruption,education,pills
NORWAY,578,"10.0,62.0",7.537000179,6788.388756,85,33,56.5
DENMARK,208,"10.0,56.0",7.521999836,5465.086052,90,29.9,77
ICELAND,352,"-18.0,65.0",7.504000187,3003.527697,78,28.9,129.6
SWITZERLAND,756,"8.0,47.0",7.493999958,4610.77461,86,31.6,49.08
FINLAND,246,"26.0,64.0",7.468999863,2990.412639,89,37,68.2
NETHERLANDS,528,"5.45,52.3",7.376999855,4431.118412,83,27.4,45.1
SWEDEN,752,"15.0,62.0",7.28399992,3820.116794,88,30.8,92.5
ISRAEL,376,"34.45,31.3",7.212999821,1316.98035,64,47.6,44.4
AUSTRIA,40,"13.2,47.2",7.006000042,3843.423895,75,22.9,60.3
IRELAND,372,"-8.0,53.0",6.977000237,2933.400094,73,25,55.51
GERMANY,276,"9.0,51.0",6.951000214,3598.298292,81,26.3,56.4
BELGIUM,56,"4.0,50.5",6.890999794,3451.902222,77,27.5,78.3
LUXEMBOURG,442,"6.1,49.45",6.862999916,6905.530344,81,27.5,53.7
UNITED KINGDOM,826,"-2.0,54.0",6.714000225,2938.424005,81,37.6,94.2
CZECH REPUBLIC,203,"15.3,49.45",6.609000206,1238.410969,55,15.5,55
FRANCE,250,"2.0,46.0",6.441999912,3651.849006,69,22.1,49.8
SPAIN,724,"-4.0,40.0",6.402999878,2099.095912,58,23.2,73.1
SLOVAK REPUBLIC,703,"19.3,48.4",6.09800005,930.2932263,51,13.9,40
POLAND,616,"20.0,52.0",5.97300005,666.0193831,62,13.9,16.66
ITALY,380,"12.5,42.5",5.964000225,2520.742869,47,12.4,46.5
LATVIA,428,"25.0,57.0",5.849999905,438.7428921,57,27,12.3
SLOVENIA,705,"14.49,46.07",5.757999897,1586.851233,61,19.1,56.8
ESTONIA,233,"26.0,59.0",5.611000061,671.3716873,70,36.1,24.8
TURKEY,792,"35.0,39.0",5.5,509.9637435,41,10.2,38
HUNGARY,348,"20.0,47.0",5.323999882,653.761609,48,17.2,28.3
GREECE,300,"22.0,39.0",5.227000237,1621.205318,44,20.9,48.1
PORTUGAL,620,"-8.0,39.3",5.195000172,1612.751273,62,13.1,95.1